name,intptlat,intptlon
Gilroy,+37.0064066,-121.5853213
San Jose,+37.2967394,-121.8189089
Newman,+37.3156543,-121.0211254
Pacific Grove,+36.6225766,-121.9264300
San Juan Bautista,+36.8456736,-121.5377770
Morgan Hill,+37.1323963,-121.6409989
Los Banos,+37.0633346,-120.8402558
Avenal,+36.0311809,-120.1160228
Atascadero,+35.4858195,-120.6896669
Monterey,+36.6012904,-121.8825566
Salinas,+36.6901821,-121.6337145
Hollister,+36.8563746,-121.3981157
El Paso de Robles (Paso Robles),+35.6407402,-120.6542682
Morro Bay,+35.3672891,-120.8692045
San Luis Obispo,+35.2639540,-120.6611260
Coalinga,+36.1330557,-120.3390286
Mendota,+36.7559904,-120.3782366
Watsonville,+36.9196077,-121.7702498
Carmel-by-the-Sea,+36.5529458,-121.9218892
Del Rey Oaks,+36.5825013,-121.8297974
Gonzales,+36.5059790,-121.4429180
Greenfield,+36.3233901,-121.2447500
Marina,+36.6805918,-121.7900735
Sand City,+36.6219032,-121.8475249
Seaside,+36.6252150,-121.8238832
Soledad,+36.4379099,-121.3156119
King City,+36.2162833,-121.1319616
Amesti,+36.9594832,-121.7817391
Aptos,+36.9911473,-121.8927575
Aptos Hills-Larkin Valley,+36.9545264,-121.8213711
Aromas,+36.8747551,-121.6307316
Boronda,+36.6948914,-121.6746697
Bradley,+35.8628398,-120.8042676
Cambria,+35.5524795,-121.0845270
Carmel Valley Village,+36.5011591,-121.7321488
Castroville,+36.7648380,-121.7533738
Cayucos,+35.4395808,-120.8898281
Chualar,+36.5711128,-121.5102955
Corralitos,+36.9841813,-121.7893291
Crows Landing,+37.3947282,-121.0843182
Day Valley,+37.0254406,-121.8559328
Del Monte Forest,+36.5838337,-121.9467143
Diablo Grande,+37.3966822,-121.2694590
Elkhorn,+36.8106726,-121.7186988
Freedom,+36.9403110,-121.7963214
Interlaken,+36.9506036,-121.7375192
Lake Nacimiento,+35.7300149,-120.8700490
La Selva Beach,+36.9273746,-121.8444035
Las Lomas,+36.8688131,-121.7316111
Lockwood,+35.9404553,-121.0790725
Los Osos,+35.3043760,-120.8241225
Moss Landing,+36.8053889,-121.7865770
Oak Shores,+35.7689746,-120.9788544
Pajaro,+36.9016509,-121.7417042
Pajaro Dunes,+36.8682378,-121.8056960
Pine Canyon,+36.1720725,-121.1430132
Prunedale,+36.8117473,-121.6549596
Ridgemark,+36.8082406,-121.3622802
Rio del Mar,+36.9578994,-121.8848228
San Ardo,+36.0236990,-120.9073068
San Lucas,+36.1283492,-121.0217318
San Martin,+37.0828779,-121.5963113
San Miguel,+35.7534065,-120.6923963
San Simeon,+35.6182056,-121.1374380
Santa Nella,+37.1014356,-121.0153656
Shandon,+35.6536085,-120.3831476
Spreckels,+36.6247156,-121.6464870
Templeton,+35.5559827,-120.7182087
Three Rocks,+36.5051483,-120.3935343
Tres Pinos,+36.7904289,-121.3106079
Volta,+37.0823527,-120.9144798
Whitley Gardens,+35.6563222,-120.5081122
