intptlat,intptlon,NeedScore
36.1300452,-120.2449273,53.14
36.204251,-120.4089333,57.7
36.157178,-120.3728944,69.03
36.1419701,-120.3511622,87.7
36.626297,-120.5773805,100
36.8689002,-120.6584593,46.55
35.9068415,-120.0768232,91.44
35.9707414,-120.1209322,53.14
36.9542373,-120.9793353,60.76
36.7398419,-121.6216521,43.36
36.7107945,-121.6348577,51.92
36.7132772,-121.6495279,62.71
36.7123618,-121.6212411,49.74
36.7023922,-121.6435861,62.3
36.7030907,-121.6595817,58.16
36.6928894,-121.6499433,72.52
36.6758882,-121.6327942,63.67
36.6843587,-121.6342814,68.67
36.6799302,-121.6171939,86.15
36.6877621,-121.6091065,79.58
36.6846397,-121.6108778,74.77
36.6748899,-121.6146898,72.86
36.6690787,-121.6261157,96.31
36.6646451,-121.6493229,37.35
36.6749131,-121.6550585,79.42
36.6706218,-121.6639509,58.51
36.6584132,-121.6725274,32.63
36.6701186,-121.6776093,33.88
36.6783432,-121.6686664,57.63
36.6893747,-121.6700284,72.1
36.6856739,-121.6550156,66.11
36.8699792,-121.7710146,75.47
36.8844138,-121.6811023,20.64
36.8477738,-121.6841172,35.43
36.8191591,-121.6752959,37.2
36.7510823,-121.7175785,26.84
36.764838,-121.7533738,63.88
36.7877533,-121.6196088,37.28
36.7321374,-121.6905387,45.3
36.7291549,-121.6494211,58.74
36.7243316,-121.654345,62.91
36.7062789,-121.6133899,47.61
36.6969398,-121.604063,43.11
36.6887234,-121.5991482,62.72
36.6852793,-121.5676557,54.9
36.6932182,-121.6143564,82.04
36.695081,-121.6224213,61.54
36.5796828,-121.6553273,29.11
36.5436798,-121.6316313,17.2
36.4987089,-121.484516,61.79
36.4743205,-121.3770688,25.94
36.3913637,-121.6806215,33.23
36.3669665,-121.4758894,62.15
36.4618356,-121.298169,64.95
36.3293134,-121.240026,57.53
36.3177202,-121.244738,63.38
36.3518636,-121.2425346,73.1
36.2128108,-121.1254387,67.86
36.1770603,-121.2767662,63.64
36.246079,-121.0176253,71.5
35.9668581,-120.9172021,57.21
36.2793666,-121.6950907,36.41
36.5409125,-121.8182716,25.8
36.4997312,-121.871267,19.55
36.5294601,-121.9250324,41.23
36.5586887,-121.921,22.53
36.5494471,-121.9248119,14.5
36.5852187,-121.9452821,22.07
36.6034523,-121.9272708,34.3
36.6129762,-121.9252483,38.82
36.6173279,-121.9208292,36.52
36.6199026,-121.9174657,33.76
36.6228559,-121.9132892,20.99
36.6262314,-121.9319044,29.79
36.6114328,-121.9042032,35.46
36.6045157,-121.911505,0
36.6021019,-121.8947338,42.92
36.5895988,-121.9095446,23.62
36.5938492,-121.8844269,31.61
36.5815969,-121.8795948,47.81
36.5619603,-121.8048088,17.98
36.5941325,-121.8548464,46.7
36.5825013,-121.8297974,24.19
36.603362,-121.8317468,74.37
36.6015567,-121.8432617,48.74
36.6107804,-121.8411902,76.96
36.6128974,-121.8292766,49.67
36.6190341,-121.8296872,45.83
36.6151532,-121.8487991,59.65
36.6634389,-121.8002812,89.12
36.6518615,-121.7987528,53.14
36.6605315,-121.7650065,56.34
36.5952901,-121.7876563,37.03
36.6765137,-121.7937321,42.49
36.6807321,-121.7902463,50.11
36.7252682,-121.7956088,35.55
36.7093536,-121.771688,50.96
36.64837,-121.6367229,58.36
36.8334157,-121.7572058,63.25
36.8010562,-121.7117029,48.73
36.5669002,-121.4025672,55.45
36.6632933,-121.6049966,53.14
36.9011737,-121.3587465,42.7
36.8258065,-121.5185645,51.58
36.8617508,-121.4226302,49.39
36.8477593,-121.405435,49.57
36.843324,-121.3793272,38.82
36.8531993,-121.3840277,60.69
36.8303191,-121.3738113,46.77
36.8474191,-121.419686,74.29
36.8305138,-121.4128266,46.34
36.80466,-121.360018,31.75
36.5800916,-121.0009504,40.45
35.7322134,-120.9348713,30
35.619857,-120.367815,27.78
35.5589818,-120.9891147,21.31
37.1775734,-121.725563,37.06
37.0469717,-121.7109545,24.17
37.11432,-121.6736702,25.65
37.0997295,-121.6367134,43.79
37.1535255,-121.6188759,49.44
37.1301031,-121.6086139,36.63
37.1171152,-121.6336266,62.41
37.1495676,-121.6599829,40.6
37.1331658,-121.6429002,47.31
37.1159266,-121.653281,41.89
37.1283447,-121.6632327,43.71
37.0597429,-121.6052909,35.9
37.0945979,-121.5669408,41.15
37.0323616,-121.625802,51.24
37.0245547,-121.5925121,48.27
37.023032,-121.5818003,62
37.0048157,-121.5788456,44.62
36.9878822,-121.5713826,61.24
36.9775587,-121.5863518,49.1
37.0180768,-121.5244138,33.91
37.0017257,-121.5626711,69.52
37.0198203,-121.5705812,67.32
37.248099,-121.5279664,33.73
36.9224923,-121.7415547,50.24
36.9272406,-121.7543133,48.54
36.9114533,-121.7551885,72.09
36.9043848,-121.770471,67.15
36.9206806,-121.7708163,67
36.9300262,-121.769617,37.44
36.9288679,-121.7840532,36.15
36.938465,-121.793757,51.33
36.9041,-121.8169696,25.14
37.001101,-121.7979629,29.39
36.9514486,-121.7451776,70.83
36.9594832,-121.7817391,48.31
36.9339389,-121.6753872,60.86
37.3260075,-121.1936646,74.53
